Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Men's Basketball at  Université Laval,8/2/17,4:00 PM,8/2/17,7:00 PM,,Men's Basketball,Men's Basketball at  Université Laval 
Men's Basketball at  UQAM,8/3/17,4:00 PM,8/3/17,7:00 PM,,Men's Basketball,Men's Basketball at  UQAM 
Men's Basketball at  QC United,8/5/17,10:00 AM,8/5/17,1:00 PM,,Men's Basketball,Men's Basketball at  QC United 
Men's Soccer at  San Diego (Exhibition),8/12/17,7:00 PM,8/12/17,10:00 PM,"San Diego, CA",Men's Soccer,"Men's Soccer at  San Diego (Exhibition) San Diego, CA"
Men's Soccer at  California Baptist University (Exhibition),8/15/17,5:00 PM,8/15/17,8:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer at  California Baptist University (Exhibition) Riverside, CA"
Women's Soccer vs  Southern Utah,8/18/17,7:30 PM,8/18/17,10:30 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Southern Utah Riverside, CA"
Men's Soccer vs  UNLV (Exhibition),8/19/17,7:30 PM,8/19/17,10:30 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  UNLV (Exhibition) Riverside, CA"
Women's Soccer vs  Idaho,8/20/17,7:30 PM,8/20/17,10:30 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Idaho Riverside, CA"
Women's Volleyball vs  Alumni,8/20/17,1:30 PM,8/20/17,4:30 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Alumni Riverside, CA"
Women's Soccer at  Denver,8/25/17,4:00 PM,8/25/17,7:00 PM,"Denver, CO",Women's Soccer,"Women's Soccer at  Denver Denver, CO"
Men's Soccer at  CSU Bakersfield,8/25/17,7:00 PM,8/25/17,10:00 PM,"Bakersfield, CA",Men's Soccer,"Men's Soccer at  CSU Bakersfield Bakersfield, CA"
Women's Volleyball vs  Fairleigh Dickinson,8/25/17,5:00 PM,8/25/17,5:00 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball vs  Fairleigh Dickinson Fullerton, CA"
Women's Volleyball vs  Bryant,8/26/17,11:00 AM,8/26/17,2:00 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball vs  Bryant Fullerton, CA"
Women's Volleyball vs  Drake,8/26/17,7:30 PM,8/26/17,10:30 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball vs  Drake Fullerton, CA"
Women's Soccer at  Colorado,8/27/17,12:00 PM,8/27/17,3:00 PM,"Boulder, CO",Women's Soccer,"Women's Soccer at  Colorado Boulder, CO"
Women's Soccer vs  Toledo,9/1/17,7:30 PM,9/1/17,10:30 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Toledo Riverside, CA"
Women's Volleyball vs  Chicago State,9/1/17,12:00 PM,9/1/17,3:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Chicago State Riverside, CA"
Women's Volleyball vs  San Jose State,9/1/17,5:00 PM,9/1/17,8:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  San Jose State Riverside, CA"
Men's Soccer at  Gonzaga,9/1/17,7:00 PM,9/1/17,10:00 PM,"Spokane, WA",Men's Soccer,"Men's Soccer at  Gonzaga Spokane, WA"
Women's Cross Country  Nature's Bakery Nevada Twilight Classic,9/1/17,8:40 PM,9/1/17,11:40 PM,"Sparks, NV",Women's Cross Country,"Women's Cross Country  Nature's Bakery Nevada Twilight Classic Sparks, NV"
Men's Cross Country  Nature's Bakery Nevada Twilight Classic,9/1/17,9:20 PM,9/2/17,12:30 AM,"Sparks, NV",Men's Cross Country,"Men's Cross Country  Nature's Bakery Nevada Twilight Classic Sparks, NV"
Women's Volleyball vs  Chicago State vs Southern Utah,9/2/17,1:00 PM,9/2/17,3:00 PM,"Riverside, CA ",Women's Volleyball,"Women's Volleyball vs  Chicago State vs Southern Utah Riverside, CA "
Women's Volleyball vs  Howard,9/2/17,8:00 PM,9/2/17,11:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Howard Riverside, CA"
Men's Soccer vs  Oregon State,9/3/17,11:00 AM,9/3/17,2:00 PM,"Spokane, WA",Men's Soccer,"Men's Soccer vs  Oregon State Spokane, WA"
Women's Soccer vs  Penn,9/3/17,7:00 PM,9/3/17,10:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Penn Riverside, CA"
Women's Soccer vs  Grambling State,9/8/17,3:30 PM,9/8/17,6:30 PM,"Moraga, CA",Women's Soccer,"Women's Soccer vs  Grambling State Moraga, CA"
Men's Soccer at  Omaha,9/8/17,5:30 PM,9/8/17,8:30 PM,"Omaha, NE",Men's Soccer,"Men's Soccer at  Omaha Omaha, NE"
